id,timestamp,symbol,direction,confirmation_timestamp,confirmation_close,retest_timestamp,retest_close,calibrated_entry,calibrated_stop,calibrated_target,risk_pct,status,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-21T17:46:36.891485+00:00_BBUSDT_LONG_0.0089,2026-09-21T17:46:36.891485+00:00,BBUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:49:40.331193+00:00_BEATUSDT_LONG_0.0875,2026-09-21T18:49:40.331193+00:00,BEATUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:49:40.948064+00:00_BLESSUSDT_LONG_0.00938,2026-09-21T18:49:40.948064+00:00,BLESSUSDT,LONG,2026-09-21T18:55:00+00:00,0.009405,2026-09-21T19:00:00+00:00,0.009405,0.009405,0.009314028571,0.009586942858,0.967267,RESOLVED,FAIL,-1.0,2026-09-21T19:45:00+00:00,confirmed then retested
Bitget_2026-09-21T18:50:03.248463+00:00_SUIUSDT_LONG_1.0092,2026-09-21T18:50:03.248463+00:00,SUIUSDT,LONG,2026-09-21T19:00:00+00:00,1.012,2026-09-21T19:10:00+00:00,1.0109,1.0109,0.998644285714,1.03541142857,1.212357,ELIGIBLE_UNRESOLVED,,,,confirmed then retested
Bitget_2026-09-21T18:50:03.598762+00:00_SUSHIUSDT_LONG_0.2553,2026-09-21T18:50:03.598762+00:00,SUSHIUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:50:08.987487+00:00_牛来USDT_LONG_0.10509,2026-09-21T18:50:08.987487+00:00,牛来USDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T22:21:51.826440+00:00_1000000MOGUSDT_LONG_0.1194,2026-09-21T22:21:51.826440+00:00,1000000MOGUSDT,LONG,2026-09-21T22:30:00+00:00,0.1203,2026-09-21T22:35:00+00:00,0.1196,0.1196,0.118241428571,0.122317142858,1.135929,ELIGIBLE_UNRESOLVED,,,,confirmed then retested
Bitget_2026-09-22T00:43:52.081715+00:00_FLOCKUSDT_LONG_0.07373,2026-09-22T00:43:52.081715+00:00,FLOCKUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-22T02:16:00.627928+00:00_APTUSDT_LONG_0.7687,2026-09-22T02:16:00.627928+00:00,APTUSDT,LONG,2026-09-22T02:25:00+00:00,0.7716,2026-09-22T02:30:00+00:00,0.7739,0.7739,0.767594285714,0.786511428572,0.814797,RESOLVED,FAIL,-1.0,2026-09-22T03:00:00+00:00,confirmed then retested
Bitget_2026-09-22T02:45:12.999982+00:00_METUSDT_LONG_0.2795,2026-09-22T02:45:12.999982+00:00,METUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
