timestamp,provider,symbol
2026-09-22T09:03:58.230169+00:00,Bitget,BLESSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BLSHUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BLURUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BNBUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BNTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BOMEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BRETTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BREVUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BROCCOLIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BRUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BSBUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BSVUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BTCUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BTWUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,BUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,C98USDT
2026-09-22T09:03:58.230169+00:00,Bitget,CAKEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CAPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CARVUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CATIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CCUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CELOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CELRUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CETUSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CFGUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CFXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CGPTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CHILLGUYUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CHIPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CHRUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CHZUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CKBUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CLANKERUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,COAIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,COMPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,COOKIEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CORZUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,COTIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,COWUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CROSSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CROUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CRVUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CTKUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CTRUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CTSIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CVCUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CVXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CYBERUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,CYSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DASHUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DATAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DEEPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DEXEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DGAIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DIAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOGEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOGSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOLOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOODUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DOTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DRIFTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DYDXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,DYMUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EDGEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EGLDUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EIGENUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ELSAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ENAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ENJUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ENSOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ENSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EPICUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ERAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ESPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ETCUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ETHFIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ETHUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ETHWUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EULUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,EVAAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FARTCOINUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FETUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FFUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FIDAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FIGHTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FILUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FLOCKUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FLOKIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FLUIDUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FLUXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FOGOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FOLKSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FORMUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FRAXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,FUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GALAUSDT
