id,timestamp,symbol,direction,baseline_entry,baseline_stop,baseline_target,anchor_40,buffer,planned_entry,entry_improvement_pct,planned_stop,planned_target,risk_pct,reward_r,status,fill_timestamp,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-21T11:48:06.339181+00:00_FFUSDT_LONG_0.12735,2026-09-21T11:48:06.339181+00:00,FFUSDT,LONG,0.12735,0.126729,0.13031,0.12681,4.17857142857e-05,0.126851785714,0.391217,0.126729,0.13031,0.096795,28.164631,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T11:48:13.271785+00:00_MANTAUSDT_SHORT_0.07146,2026-09-21T11:48:13.271785+00:00,MANTAUSDT,SHORT,0.07146,0.072048428571,0.06905,0.07208,2.00714285714e-05,0.0720599285714,0.839531,0.0721000714286,0.06905,0.055708,74.980427,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T11:48:21.923724+00:00_STRKUSDT_LONG_0.047062,2026-09-21T11:48:21.923724+00:00,STRKUSDT,LONG,0.047062,0.046816228571,0.048769,0.0468,3.04285714286e-05,0.0468304285714,0.492056,0.0467695714286,0.048769,0.129952,31.854460,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T11:48:22.023900+00:00_STXUSDT_SHORT_0.3337,2026-09-21T11:48:22.023900+00:00,STXUSDT,SHORT,0.3337,0.334392857143,0.3306,0.3389,9.71428571429e-05,0.338802857143,1.529175,0.338997142857,0.3306,0.057345,42.220588,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T11:48:26.207200+00:00_WIFUSDT_SHORT_0.2168,2026-09-21T11:48:26.207200+00:00,WIFUSDT,SHORT,0.2168,0.219072857143,0.2023,0.2188,0.00013,0.21867,0.862546,0.219072857143,0.2023,0.184231,40.634752,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T11:48:26.579882+00:00_XLMUSDT_SHORT_0.21184,2026-09-21T11:48:26.579882+00:00,XLMUSDT,SHORT,0.21184,0.213225428571,0.20653,0.21303,0.000107214285714,0.212922785714,0.511134,0.213225428571,0.20653,0.142137,21.123200,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:45.261115+00:00_1000BONKUSDT_SHORT_0.00324,2026-09-21T12:00:45.261115+00:00,1000BONKUSDT,SHORT,0.00324,0.003286828571,0.003019,0.003319,1.35714285714e-06,0.00331764285714,2.396384,0.00332035714286,0.003019,0.081814,110.026316,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:47.775343+00:00_ARUSDT_LONG_4.74,2026-09-21T12:00:47.775343+00:00,ARUSDT,LONG,4.74,4.685714285714,5.089,4.643,0.00369285714286,4.64669285714,1.968505,4.63930714286,5.089,0.158946,59.886847,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:49.107677+00:00_AXSUSDT_SHORT_1.062,2026-09-21T12:00:49.107677+00:00,AXSUSDT,SHORT,1.062,1.072528571429,1.016,1.085,0.000314285714286,1.08468571429,2.136131,1.08531428571,1.016,0.057950,109.272727,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:49.520168+00:00_BBUSDT_SHORT_0.00886,2026-09-21T12:00:49.520168+00:00,BBUSDT,SHORT,0.00886,0.008905857143,0.00855,0.00894,3.14285714286e-06,0.00893685714286,0.867462,0.00894314285714,0.00855,0.070335,61.545455,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:53.511667+00:00_CHZUSDT_SHORT_0.01572,2026-09-21T12:00:53.511667+00:00,CHZUSDT,SHORT,0.01572,0.015826428571,0.01508,0.01582,3.71428571429e-06,0.0158162857143,0.612505,0.015826428571,0.01508,0.064129,72.591552,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:56.084914+00:00_EDGEUSDT_SHORT_0.6083,2026-09-21T12:00:56.084914+00:00,EDGEUSDT,SHORT,0.6083,0.61496,0.5709,0.6146,0.000452142857143,0.614147857143,0.961344,0.615052142857,0.5709,0.147242,47.825434,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:58.008527+00:00_FARTCOINUSDT_SHORT_0.1812,2026-09-21T12:00:58.008527+00:00,FARTCOINUSDT,SHORT,0.1812,0.183295714286,0.1696,0.1839,0.000107142857143,0.183792857143,1.430937,0.184007142857,0.1696,0.116591,66.233333,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:00:59.106872+00:00_GALAUSDT_SHORT_0.002031,2026-09-21T12:00:59.106872+00:00,GALAUSDT,SHORT,0.002031,0.002045971429,0.00196,0.002051,5.07142857143e-07,0.00205049285714,0.959766,0.00205150714286,0.00196,0.049465,89.218310,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:03.452446+00:00_KITEUSDT_SHORT_0.12018,2026-09-21T12:01:03.452446+00:00,KITEUSDT,SHORT,0.12018,0.120948,0.1156,0.1209,2.4036e-05,0.120875964,0.579101,0.120948,0.1156,0.059595,73.240657,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:03.991657+00:00_LINKUSDT_SHORT_13.035,2026-09-21T12:01:03.991657+00:00,LINKUSDT,SHORT,13.035,13.140128571429,12.469,13.132,0.00442857142857,13.1275714286,0.710176,13.1401285714,12.469,0.095655,52.445961,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:08.485774+00:00_ONGUSDT_SHORT_0.08829,2026-09-21T12:01:08.485774+00:00,ONGUSDT,SHORT,0.08829,0.089212714286,0.08509,0.08925,3.12857142857e-05,0.0892187142857,1.051891,0.0892812857143,0.08509,0.070133,65.984018,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:12.671251+00:00_RUNEUSDT_SHORT_0.598,2026-09-21T12:01:12.671251+00:00,RUNEUSDT,SHORT,0.598,0.60265,0.5705,0.6023,0.000169285714286,0.602130714286,0.690755,0.60265,0.5705,0.086241,60.911967,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:14.603464+00:00_STXUSDT_SHORT_0.332,2026-09-21T12:01:14.603464+00:00,STXUSDT,SHORT,0.332,0.334405714286,0.3179,0.3389,9.57142857143e-05,0.338804285714,2.049484,0.338995714286,0.3179,0.056501,109.201493,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:16.787660+00:00_TUTUSDT_SHORT_0.02207,2026-09-21T12:01:16.787660+00:00,TUTUSDT,SHORT,0.02207,0.022341142857,0.02131,0.02232,1.15714285714e-05,0.0223084285714,1.080329,0.022341142857,0.02131,0.146645,30.519651,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:18.093554+00:00_VELVETUSDT_SHORT_0.06208,2026-09-21T12:01:18.093554+00:00,VELVETUSDT,SHORT,0.06208,0.062704285714,0.05821,0.06264,3.3e-05,0.062607,0.848905,0.062704285714,0.05821,0.155391,45.196770,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:01:19.339769+00:00_XLMUSDT_SHORT_0.21046,2026-09-21T12:01:19.339769+00:00,XLMUSDT,SHORT,0.21046,0.213232857143,0.19709,0.21303,0.0001065,0.2129235,1.170531,0.213232857143,0.19709,0.145290,51.181944,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:07:47.953218+00:00_EDGEUSDT_SHORT_0.604,2026-09-21T12:07:47.953218+00:00,EDGEUSDT,SHORT,0.604,0.61488,0.5449,0.6146,0.000409285714286,0.614190714286,1.687204,0.615009285714,0.5449,0.133276,84.648342,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T12:08:09.618709+00:00_VELVETUSDT_SHORT_0.06185,2026-09-21T12:08:09.618709+00:00,VELVETUSDT,SHORT,0.06185,0.062700714286,0.05821,0.06264,3.3e-05,0.062607,1.223929,0.062700714286,0.05821,0.149687,46.919207,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T13:31:45.487299+00:00_EIGENUSDT_SHORT_0.2488,2026-09-21T13:31:45.487299+00:00,EIGENUSDT,SHORT,0.2488,0.25192,0.2333,0.2517,0.00011,0.25159,1.121383,0.25192,0.2333,0.131166,55.424242,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T13:31:52.042107+00:00_KAITOUSDT_SHORT_0.349,2026-09-21T13:31:52.042107+00:00,KAITOUSDT,SHORT,0.349,0.352918571429,0.3293,0.3525,0.000209285714286,0.352290714286,0.942898,0.352918571429,0.3293,0.178221,36.617747,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T13:50:29.856612+00:00_PUMPUSDT_LONG_0.004382,2026-09-21T13:50:29.856612+00:00,PUMPUSDT,LONG,0.004382,0.004355542857,0.004475,0.004349,2.22857142857e-06,0.00435122857143,0.702223,0.00434677142857,0.004475,0.102434,27.769231,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T14:58:23.969297+00:00_GPSUSDT_LONG_0.010993,2026-09-21T14:58:23.969297+00:00,GPSUSDT,LONG,0.010993,0.010920871429,0.011162,0.010926,2.67142857143e-06,0.0109286714286,0.585178,0.010920871429,0.011162,0.071372,29.913921,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T14:58:27.643093+00:00_KERNELUSDT_LONG_0.04755,2026-09-21T14:58:27.643093+00:00,KERNELUSDT,LONG,0.04755,0.046907142857,0.05019,0.04693,1.97142857143e-05,0.0469497142857,1.262431,0.046907142857,0.05019,0.090675,76.114094,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T14:58:29.717343+00:00_METISUSDT_LONG_3.575,2026-09-21T14:58:29.717343+00:00,METISUSDT,LONG,3.575,3.525271428571,3.728,3.525,0.00232142857143,3.52732142857,1.333666,3.52267857143,3.728,0.131626,43.223077,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T15:32:33.923008+00:00_DGAIUSDT_LONG_1.0214,2026-09-21T15:32:33.923008+00:00,DGAIUSDT,LONG,1.0214,1.00287,1.0845,0.9897,0.000865,0.990565,3.018896,0.988835,1.0845,0.174648,54.297688,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T17:22:03.542876+00:00_AKTUSDT_LONG_0.6321,2026-09-21T17:22:03.542876+00:00,AKTUSDT,LONG,0.6321,0.630031428571,0.6442,0.6312,0.000452857142857,0.631652857143,0.070739,0.630031428571,0.6442,0.256696,7.738326,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T17:46:36.891485+00:00_BBUSDT_LONG_0.0089,2026-09-21T17:46:36.891485+00:00,BBUSDT,LONG,0.0089,0.008771714286,0.00933,0.00889,5e-06,0.008895,0.056180,0.008771714286,0.00933,1.386011,3.528389,AMBIGUOUS_FILL,2026-09-21T18:00:00+00:00,AMBIGUOUS,,,fill candle also touched stop/target; intrabar order unknown
Bitget_2026-09-21T18:49:40.331193+00:00_BEATUSDT_LONG_0.0875,2026-09-21T18:49:40.331193+00:00,BEATUSDT,LONG,0.0875,0.086941428571,0.089,0.0865,2.5e-05,0.086525,1.114286,0.086475,0.089,0.057787,49.500000,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T18:49:40.948064+00:00_BLESSUSDT_LONG_0.00938,2026-09-21T18:49:40.948064+00:00,BLESSUSDT,LONG,0.00938,0.009314028571,0.009634,0.00932,3.29285714286e-06,0.00932329285714,0.604554,0.009314028571,0.009634,0.099367,33.538163,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
