id,timestamp,symbol,provider,price
2026-09-13T17:30:00+00:00_MARAUSDT,2026-09-13T17:30:00+00:00,MARAUSDT,Bitget,11.948
2026-09-13T17:30:00+00:00_XAUTUSDT,2026-09-13T17:30:00+00:00,XAUTUSDT,Bitget,4348.79
2026-09-13T17:30:00+00:00_AXTIUSDT,2026-09-13T17:30:00+00:00,AXTIUSDT,Bitget,62.36
2026-09-13T17:30:00+00:00_CLUSDT,2026-09-13T17:30:00+00:00,CLUSDT,Bitget,97.001
2026-09-13T17:30:00+00:00_ORCLUSDT,2026-09-13T17:30:00+00:00,ORCLUSDT,Bitget,149.2
2026-09-13T17:30:00+00:00_APTUSDT,2026-09-13T17:30:00+00:00,APTUSDT,Bitget,0.6074
2026-09-13T17:30:00+00:00_KNCUSDT,2026-09-13T17:30:00+00:00,KNCUSDT,Bitget,0.1442
2026-09-13T17:30:00+00:00_KIOXIAUSDT,2026-09-13T17:30:00+00:00,KIOXIAUSDT,Bitget,346.08
2026-09-13T17:30:00+00:00_COINUSDT,2026-09-13T17:30:00+00:00,COINUSDT,Bitget,173.56
2026-09-13T17:30:00+00:00_BRUSDT,2026-09-13T17:30:00+00:00,BRUSDT,Bitget,0.31563
2026-09-13T17:30:00+00:00_MMTUSDT,2026-09-13T17:30:00+00:00,MMTUSDT,Bitget,0.1566
2026-09-13T17:30:00+00:00_POWERUSDT,2026-09-13T17:30:00+00:00,POWERUSDT,Bitget,0.11036
2026-09-13T17:30:00+00:00_WLDUSDT,2026-09-13T17:30:00+00:00,WLDUSDT,Bitget,0.3942
2026-09-13T17:30:00+00:00_AZTECUSDT,2026-09-13T17:30:00+00:00,AZTECUSDT,Bitget,0.0141
2026-09-13T17:30:00+00:00_ZORAUSDT,2026-09-13T17:30:00+00:00,ZORAUSDT,Bitget,0.008171
2026-09-13T17:30:00+00:00_MSFTUSDT,2026-09-13T17:30:00+00:00,MSFTUSDT,Bitget,492.34
2026-09-13T17:30:00+00:00_EIGENUSDT,2026-09-13T17:30:00+00:00,EIGENUSDT,Bitget,0.209
2026-09-13T17:30:00+00:00_MUUUSDT,2026-09-13T17:30:00+00:00,MUUUSDT,Bitget,29.346
2026-09-13T17:30:00+00:00_SKHYUSDT,2026-09-13T17:30:00+00:00,SKHYUSDT,Bitget,182.21
2026-09-13T17:30:00+00:00_STXSTOCKUSDT,2026-09-13T17:30:00+00:00,STXSTOCKUSDT,Bitget,814.39
2026-09-13T17:30:00+00:00_LSKUSDT,2026-09-13T17:30:00+00:00,LSKUSDT,Bitget,0.9833
2026-09-13T17:30:00+00:00_LGELECTRONICSUSDT,2026-09-13T17:30:00+00:00,LGELECTRONICSUSDT,Bitget,149.39
2026-09-13T17:30:00+00:00_PLTRUSDT,2026-09-13T17:30:00+00:00,PLTRUSDT,Bitget,165.11
2026-09-13T17:30:00+00:00_COPPERUSDT,2026-09-13T17:30:00+00:00,COPPERUSDT,Bitget,6.518
