timestamp,rank,symbol,score,long_score,short_score,score_gap_to_70,bias,diagnostic_status,blocker,long_blocker,short_blocker,early_status,early_direction,early_score,early_blocker,early_location,early_exhaustion,early_flow,early_structure,direction,signal,location,exhaustion,flow,reclaim,expansion,long_location,long_exhaustion,long_flow,long_reclaim,long_expansion,short_location,short_exhaustion,short_flow,short_reject,short_expansion,price,range_pos,atr_pct,volume_ratio,taker_ratio,taker_stability,taker_fills,book_ratio,funding,24h_change,selection
2026-09-16T05:58:53.230499+00:00,11,XAGUSDT,57.4,4.8,57.4,12.6,SHORT,MONITOR SHORT,exhaustion 0.15<0.50; expansion 0.00<0.40,location 0.00<0.60; flow 0.24<0.55; reclaim 0.00<0.25,exhaustion 0.15<0.50; expansion 0.00<0.40,MONITOR SHORT,SHORT,66.0,exhaustion 0.15<0.50,0.8886104149262064,0.14797297297297773,0.7632898372102171,0.829629629629646,NONE,NO SETUP,0.889,0.148,0.763,0.83,0.003,0.0,0.0,0.237,0.0,0.003,0.889,0.148,0.763,0.83,0.003,64.71,0.9576719576719585,0.09963687893011725,0.9541961601034218,0.48191167272627805,0.7324336500989671,500,1.5223183070509292,1.6e-05,2.276,MONITOR
2026-09-16T05:58:53.230499+00:00,12,BRUSDT,57.1,57.1,25.9,12.9,LONG,MONITOR LONG,reclaim 0.00<0.25; expansion 0.26<0.40,reclaim 0.00<0.25; expansion 0.26<0.40,location 0.00<0.60; flow 0.43<0.55; exhaustion 0.00<0.50,MONITOR LONG,LONG,59.0,structure 0.00<0.15,1.0,0.5840305329441832,0.5740834701714569,0.0,NONE,NO SETUP,0.0,0.0,0.426,0.896,0.263,1.0,0.584,0.574,0.0,0.263,0.0,0.0,0.426,0.896,0.263,0.21354,0.0,2.9113135967974655,0.025166033671890856,1.2280198497695596,0.6869098559154388,500,1.548187630519333,5e-05,-49.589,MONITOR
2026-09-16T05:58:53.230499+00:00,13,SOXSUSDT,56.6,56.6,11.1,13.4,LONG,MONITOR LONG,reclaim 0.13<0.25; exhaustion 0.31<0.50; expansion 0.32<0.40,reclaim 0.13<0.25; exhaustion 0.31<0.50; expansion 0.32<0.40,location 0.00<0.60; flow 0.28<0.55; rejection 0.04<0.25,MONITOR LONG,LONG,57.6,exhaustion 0.31<0.50; structure 0.13<0.15,0.9725400457665893,0.3089743099478646,0.7199867420670388,0.13291948146796237,NONE,NO SETUP,0.0,0.0,0.28,0.044,0.323,0.973,0.309,0.72,0.133,0.323,0.0,0.0,0.28,0.044,0.323,49.878,0.010434782608696045,0.882464778747371,0.08096531157262284,1.8403076525139277,0.6513094339163934,500,0.4368334215679724,-0.000713,-3.234,MONITOR
2026-09-16T05:58:53.230499+00:00,14,DELLUSDT,56.4,7.0,56.4,13.6,SHORT,MONITOR SHORT,exhaustion 0.21<0.50; expansion 0.22<0.40,location 0.00<0.60; flow 0.17<0.55; reclaim 0.02<0.25,exhaustion 0.21<0.50; expansion 0.22<0.40,MONITOR SHORT,SHORT,60.1,exhaustion 0.21<0.50,0.8966009378731862,0.21253409901497688,0.8296144228739621,0.3593637020968805,NONE,NO SETUP,0.897,0.213,0.83,0.359,0.22,0.0,0.0,0.17,0.018,0.22,0.897,0.213,0.83,0.359,0.22,551.05,0.9607083563918107,0.4686507230538541,0.886067334160138,0.40096335834536656,0.5808668031806672,500,1.1105988291126403,7.7e-05,3.021,MONITOR
2026-09-16T05:58:53.230499+00:00,15,BZUSDT,56.3,56.3,5.7,13.7,LONG,MONITOR LONG,exhaustion 0.22<0.50; expansion 0.11<0.40,exhaustion 0.22<0.50; expansion 0.11<0.40,location 0.00<0.60; flow 0.13<0.55; rejection 0.10<0.25,MONITOR LONG,LONG,62.6,exhaustion 0.22<0.50,0.8520892394921761,0.2201790348320038,0.8711068148182871,0.4890829694323102,NONE,NO SETUP,0.0,0.0,0.129,0.102,0.106,0.852,0.22,0.871,0.489,0.106,0.0,0.0,0.129,0.102,0.106,102.85,0.056206088992973094,0.3264247227527968,0.12066311328394808,2.7980606984228515,0.5724323903157522,500,0.4025219121691478,0.0,0.823,MONITOR
2026-09-16T05:58:53.230499+00:00,16,COHRUSDT,55.4,13.9,55.4,14.6,SHORT,MONITOR SHORT,flow 0.55<0.55; rejection 0.19<0.25; exhaustion 0.39<0.50,location 0.00<0.60; flow 0.45<0.55; reclaim 0.00<0.25,flow 0.55<0.55; rejection 0.19<0.25; exhaustion 0.39<0.50,MONITOR SHORT,SHORT,56.2,exhaustion 0.39<0.50; flow 0.55<0.55,0.9692891461017696,0.3884570648269441,0.5451583776758896,0.1903898458748828,NONE,NO SETUP,0.969,0.388,0.545,0.19,0.322,0.0,0.0,0.455,0.0,0.322,0.969,0.388,0.545,0.19,0.322,277.2,0.9883298755186725,0.5169157516367411,0.06395342344388069,0.8823154722325104,0.8447346265704918,500,0.8196164020636244,0.000372,3.206,MONITOR
2026-09-16T05:58:53.230499+00:00,17,QQQUSDT,55.4,20.2,55.4,14.6,SHORT,MONITOR SHORT,rejection 0.05<0.25; exhaustion 0.39<0.50; expansion 0.20<0.40,location 0.00<0.60; flow 0.27<0.55; exhaustion 0.00<0.50,rejection 0.05<0.25; exhaustion 0.39<0.50; expansion 0.20<0.40,MONITOR SHORT,SHORT,58.3,exhaustion 0.39<0.50; structure 0.05<0.15,0.9806184856576726,0.3873584327797903,0.725275002625613,0.05128205128206979,NONE,NO SETUP,0.981,0.387,0.725,0.051,0.197,0.0,0.0,0.275,0.781,0.197,0.981,0.387,0.725,0.051,0.197,707.74,0.9926350245499156,0.16362263306575553,0.06342029060615285,0.535478289884233,0.5547997429827561,500,1.541269107195015,0.0,-0.082,MONITOR
2026-09-16T05:58:53.230499+00:00,18,XAUUSDT,55.3,12.4,55.3,14.7,SHORT,MONITOR SHORT,exhaustion 0.04<0.50; expansion 0.32<0.40,location 0.00<0.60; flow 0.38<0.55; reclaim 0.00<0.25,exhaustion 0.04<0.50; expansion 0.32<0.40,MONITOR SHORT,SHORT,57.0,exhaustion 0.04<0.50,0.9256362587345439,0.03924731182802592,0.6213950684794872,0.6366754876016358,NONE,NO SETUP,0.926,0.039,0.621,0.637,0.32,0.0,0.0,0.379,0.0,0.32,0.926,0.039,0.621,0.637,0.32,4333.65,0.9717417783191267,0.05576744597887101,0.1718708262452727,0.7142097460540076,0.7356791496856511,500,2.091165459230807,3e-06,0.877,MONITOR
2026-09-16T05:58:53.230499+00:00,19,ZHIPUUSDT,55.3,18.0,55.3,14.7,SHORT,MONITOR SHORT,rejection 0.00<0.25; exhaustion 0.32<0.50; expansion 0.22<0.40,location 0.00<0.60; flow 0.23<0.55; exhaustion 0.00<0.50,rejection 0.00<0.25; exhaustion 0.32<0.50; expansion 0.22<0.40,MONITOR SHORT,SHORT,57.4,exhaustion 0.32<0.50; structure 0.00<0.15,1.0,0.32101387551865995,0.7744532794479244,0.0,NONE,NO SETUP,1.0,0.321,0.774,0.0,0.225,0.0,0.0,0.226,0.676,0.225,1.0,0.321,0.774,0.0,0.225,94.67,1.0,1.0129924062648323,0.39773188356455064,0.4672241922839527,0.8648498221769797,500,0.7109443287772944,0.0,10.171,MONITOR
2026-09-16T05:58:53.230499+00:00,20,KIOXIAUSDT,54.9,15.4,54.9,15.1,SHORT,MONITOR SHORT,rejection 0.02<0.25; exhaustion 0.41<0.50; expansion 0.35<0.40,location 0.00<0.60; flow 0.42<0.55; reclaim 0.12<0.25,rejection 0.02<0.25; exhaustion 0.41<0.50; expansion 0.35<0.40,MONITOR SHORT,SHORT,54.8,exhaustion 0.41<0.50; structure 0.02<0.15,0.9866119989958978,0.41240814872364234,0.5782099808147102,0.020609071671730143,NONE,NO SETUP,0.987,0.412,0.578,0.021,0.345,0.0,0.0,0.422,0.122,0.345,0.987,0.412,0.578,0.021,0.345,326.0,0.9949125596184412,1.4627686419224735,0.033839752747103526,0.8050554589963305,0.7825442340585052,500,0.8507236507677699,7.7e-05,-2.82,MONITOR
