timestamp,symbol,provider,stage,direction,confidence,alignment,risk_pct,v2_score,location_15m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,reason
2026-09-25T03:56:33.332982+00:00,BBUSDT,Bitget,REVERSAL_FAILED,LONG,87.5,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,STEEMUSDT,Bitget,NO_DIRECTION,,,,,10.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,MONUSDT,Bitget,NO_DIRECTION,,,,,10.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,PEPEUSDT,Bitget,NO_DIRECTION,,,,,10.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SOLUSDT,Bitget,NO_DIRECTION,,,,,10.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SUSDT,Bitget,NO_DIRECTION,,,,,10.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BNBUSDT,Bitget,NO_DIRECTION,,,,,10.1,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,0GUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,1000BONKUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,DOSUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ETHFIUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,FLOKIUSDT,Bitget,REVERSAL_FAILED,LONG,80.0,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,GRTUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,HOMEUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,MANTRAUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,POLYXUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,REZUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,STGUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,TUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,VETUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ZROUSDT,Bitget,NO_DIRECTION,,,,,10.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ZKUSDT,Bitget,REVERSAL_FAILED,LONG,67.5,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,RAVEUSDT,Bitget,NO_DIRECTION,,,,,9.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ACHUSDT,Bitget,NO_DIRECTION,,,,,9.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BEATUSDT,Bitget,NO_DIRECTION,,,,,9.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,DOGEUSDT,Bitget,NO_DIRECTION,,,,,9.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,KAITOUSDT,Bitget,REVERSAL_FAILED,LONG,80.0,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,IOTAUSDT,Bitget,NO_DIRECTION,,,,,9.4,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,NILUSDT,Bitget,NO_DIRECTION,,,,,9.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SUIUSDT,Bitget,NO_DIRECTION,,,,,9.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,POWERUSDT,Bitget,NO_DIRECTION,,,,,9.2,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SUSHIUSDT,Bitget,NO_DIRECTION,,,,,9.2,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,TRUMPUSDT,Bitget,NO_DIRECTION,,,,,9.1,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BEAMUSDT,Bitget,NO_DIRECTION,,,,,9.0,,,,,,,early reversal direction returned None
