id
Bitget_2026-09-19T01:54:29.180711+00:00_MRNAUSDT_SHORT_153.91
Bitget_2026-09-19T01:54:29.180711+00:00_RKLBUSDT_SHORT_64.44
Bitget_2026-09-19T01:54:29.180711+00:00_TEAMUSDT_SHORT_189.57
Bitget_2026-09-19T02:16:16.650451+00:00_CROUSDT_LONG_0.06058
Bitget_2026-09-19T02:16:16.650451+00:00_ICPUSDT_LONG_2.898
Bitget_2026-09-19T02:16:16.650451+00:00_ONDOUSDT_LONG_0.4099
Bitget_2026-09-19T02:16:16.650451+00:00_RENDERUSDT_LONG_1.5764
Bitget_2026-09-19T02:16:16.650451+00:00_VIRTUALUSDT_LONG_0.6783
